MinifigNumber,MinifigName,MinifigCategory,OwnedInSets,OwnedLoose
"tlm013","'Where are my Pants?' Guy - Minifig only Entry","Collectible Minifigures / The Lego Movie",1,0,
"sw453","212th Clone Trooper (75013)","Star Wars / Star Wars Clone Wars",1,0,
"sw518","41st Elite Corps Trooper","Star Wars / Star Wars Episode 3",3,0,
"sw519","41st Kashyyyk Clone Trooper","Star Wars / Star Wars Episode 3",2,0,
"sw445","501st Legion Clone Trooper","Star Wars / Star Wars Clone Wars",1,0,
"tlm005","Abraham Lincoln - Minifig only Entry","Collectible Minifigures / The Lego Movie",1,0,
"sw247","Admiral Ackbar","Star Wars / Star Wars Episode 4/5/6",1,0,
"uagt006","Agent Caila Phoenix","Ultra Agents / General",1,0,
"uagt026","Agent Curtis Bolt with Wings - No Stickers on Wings","Ultra Agents / General",1,0,
"uagt005","Agent Jack Fury with Parachute Backpack and Attachments","Ultra Agents / General",1,0,
"sw452","Ahsoka Tano","Star Wars / Star Wars Clone Wars",1,0,
"twn221","Al the Barber (10246)","Town / General",1,0,
"dis004","Aladdin - Minifig only Entry","Collectible Minifigures / Disney",1,0,
"sh067","Aldrich Killian","Super Heroes / Iron Man 3",1,0,
"dis007","Alice (in Wonderland) - Minifig only Entry","Collectible Minifigures / Disney",1,0,
"col139","Alien Avenger - Minifig only Entry","Collectible Minifigures / Series  9 Minifigures",1,0,
"gs008","Alien Buggoid, Dark Red","Space / Galaxy Squad",1,0,
"gs001","Alien Buggoid, Olive Green","Space / Galaxy Squad",2,0,
"sh030","Alien Foot Soldier","Super Heroes / Avengers",2,0,
"sh029","Alien General","Super Heroes / Avengers",1,0,
"col201","Alien Trooper - Minifig only Entry","Collectible Minifigures / Series 13 Minifigures",2,0,
"col235","Animal Control - Minifig only Entry","Collectible Minifigures / Series 15 Minifigures",1,0,
"sim017","Apu Nahasapeemapetilon - Minifig only Entry","Collectible Minifigures / The Simpsons",1,0,
"sh050","Aquaman","Super Heroes / Batman II",1,0,
"col245","Arabian Knight - Minifig only Entry","Collectible Minifigures / Series 16 Minifigures",1,0,
"sh047","Arctic Batman","Super Heroes / Batman II",1,0,
"cty551","Arctic Captain (60062)","Town / City / Arctic",1,0,
"cty491","Arctic Explorer, Female","Town / City / Arctic",4,0,
"cty554","Arctic Explorer, Female with Snowshoes","Town / City / Arctic",1,0,
"cty493","Arctic Explorer, Male with Green Goggles","Town / City / Arctic",6,0,
"cty497","Arctic Explorer, Male with Green Goggles and Snowshoes","Town / City / Arctic",1,0,
"cty492","Arctic Explorer, Male with Orange Goggles","Town / City / Arctic",5,0,
"cty495","Arctic Helicopter Pilot","Town / City / Arctic",2,0,
"cty490","Arctic Helicrane Pilot","Town / City / Arctic",1,0,
"cty498","Arctic Plane Pilot","Town / City / Arctic",2,0,
"cty496","Arctic Research Assistant","Town / City / Arctic",2,0,
"cty553","Arctic Research Assistant with Snowshoes, Dark Blue Legs and Knit Cap","Town / City / Arctic",1,0,
"cty552","Arctic Scientist (60062)","Town / City / Arctic",1,0,
"cty494","Arctic Scientist - Dark Brown Hair, Beard","Town / City / Arctic",1,0,
"cty509","Arctic Scout","Town / City / Arctic",1,0,
"sw297","ARF Trooper","Star Wars / Star Wars Clone Wars",1,0,
"dis018","Ariel - Minifig only Entry","Collectible Minifigures / Disney",1,0,
"coltlbm08","Arkham Asylum Joker - Minifig Only Entry","Collectible Minifigures / The LEGO Batman Movie",1,0,
"twn193","Artist, Female (10243)","Town / General",1,0,
"gs012","Ashlee Starstrider","Space / Galaxy Squad",1,0,
"uagt007","Astor City Guard","Ultra Agents / General",1,0,
"tlm074","Astro Kitty","The Lego Movie / General",1,0,
"col229","Astronaut - Minifig only Entry","Collectible Minifigures / Series 15 Minifigures",1,0,
"sw581","AT-AT Driver (Light Flesh Head)","Star Wars / Star Wars Episode 4/5/6",1,0,
"elf016","Azari Firedancer, Bright Light Orange","Elves / General",1,0,
