Number,Theme,Subtheme,Year,SetName,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EAN,UPC,Notes,QtyOwned,NewValue(USD),UsedValue(USD)
"620-3","Bricks and More","",2010,"Blue Building Plate",,1,6.99,4.99,7.99,5702014602724,673419130783,"",1,9.5300,11.7600,
"626-1","Basic","Supplementaries",1996,"Building Plate, Green",,1,6.99,4.99,7.99,5702014906260,,"",1,6.0000,5.8200,
"628-1","Basic","Supplementaries",1996,"X-Large Baseplate Grey",,1,10.49,14.99,19.99,5702010906284,,"",1,13.3700,10.7500,
"2143-1","HERO Factory","",2011,"Rocka 3.0",,30,7.99,7.99,10.99,5702014735484,673419145442,"",1,18.1800,6.4500,
"2144-1","HERO Factory","",2011,"Nex 3.0",,29,7.99,7.99,10.99,,673419145459,"",1,23.1100,5.0000,
"2145-1","HERO Factory","",2011,"Stormer 3.0",,31,7.99,7.99,10.99,5702014735507,673419145466,"",1,21.9000,7.0000,
"2182-1","HERO Factory","",2011,"Bulk 3.0",,30,7.99,7.99,10.99,,673419145473,"",1,46.6900,27.7700,
"2183-1","HERO Factory","",2011,"Stringer 3.0",,30,7.99,7.99,10.99,,673419145480,"",1,14.8100,9.9500,
"2191-1","HERO Factory","",2011,"Furno 3.0",,28,7.99,7.99,10.99,,673419145497,"",1,,4.7700,
"2232-1","HERO Factory","",2011,"Raw-Jaw",,52,9.99,12.99,17.99,,673419144230,"",1,33.0000,7.8400,
"2233-1","HERO Factory","",2011,"Fangz",,55,9.99,12.99,17.99,,673419144247,"",1,35.9400,9.5900,
"2236-1","HERO Factory","",2011,"Scorpio",,104,17.99,24.99,29.99,,673419144261,"",1,38.7000,10.9000,
"2283-1","HERO Factory","",2011,"Witch Doctor",,331,25.99,29.99,39.99,,673419145510,"",1,59.9900,25.0000,
"2504-1","Ninjago","Spinners",2011,"Spinjitzu Dojo",3,373,30.99,49.99,64.99,,673419144865,"",1,64.9900,20.0000,
"3566-1","Sports","Basketball",2003,"NBA Collectors # 7",3,12,4.99,8,,,,"",1,25.1900,21.9400,
"4172-1","Creator","",2001,"Tina's House",1,43,3.99,4,,,,"",2,9.0600,,
"4432-1","City","Traffic",2012,"Garbage Truck",2,208,17.99,19.99,24.99,5702015000789,673419196253,"",2,26.0700,11.2500,
"4526-1","DC Comics Super Heroes","Constraction",2012,"Batman",,40,10.99,14.99,17.99,5702014836785,673419166553,"",1,41.8400,14.5700,
"4528-1","DC Comics Super Heroes","Constraction",2012,"Green Lantern",,38,10.99,14.99,17.99,,673419166577,"",1,30.0000,13.4600,
"4529-1","Marvel Super Heroes","Constraction",2012,"Iron Man",,44,10.99,14.99,17.99,,673419166584,"",1,79.9000,29.9900,
"4530-1","Marvel Super Heroes","Constraction",2012,"The Hulk",,39,10.99,14.99,17.99,,673419166591,"",1,24.5800,13.9500,
"4597-1","Marvel Super Heroes","Constraction",2012,"Captain America",,44,10.99,14.99,17.99,,673419166607,"",1,45.0000,15.2300,
"5615-1","Castle","Fantasy Era",2008,"The Knight",1,21,1.99,3.49,,5702014515918,673419101608,"",1,4.9900,3.7100,
"5994-1","Castle","Knights' Kingdom II",2005,"Catapult",,27,,1,,,673419062770,"",2,3.0000,1.4900,
"6200-2","HERO Factory","",2012,"Evo",,36,6.99,8.99,11.99,5702014840089,673419167307,"",1,14.9500,7.9900,
"6201-1","HERO Factory","",2012,"Toxic Reapa",,42,6.99,8.99,11.99,5702014840102,673419167314,"",1,19.5400,8.9500,
"6203-1","HERO Factory","",2012,"Black Phantom",,124,14.99,19.99,24.99,5702014840065,673419167284,"",1,54.8700,30.0000,
"6216-1","HERO Factory","",2012,"Jawblade",,45,6.99,8.99,11.99,5702014840133,673419167352,"",1,27.3800,4.4000,
"6217-1","HERO Factory","",2012,"Surge",,39,6.99,8.99,11.99,5702014840140,673419167369,"",1,,9.2900,
"6218-1","HERO Factory","",2012,"Splitface",,50,9.99,12.99,15.99,5702014840157,673419167376,"",1,45.1800,5.6400,
"6221-1","HERO Factory","",2012,"Nex",,39,6.99,8.99,11.99,5702014840843,673419167802,"",1,10.7400,7.1900,
"6222-1","HERO Factory","",2012,"Core Hunter",,51,9.99,12.99,15.99,5702014840850,673419167819,"",1,30.1300,8.6700,
"6223-1","HERO Factory","",2012,"Bulk",,61,9.99,12.99,15.99,5702014840867,673419167826,"",1,14.6300,5.4200,
"6227-1","HERO Factory","",2012,"Breez",,55,9.99,12.99,15.99,5702014840874,673419167833,"",2,20.7700,8.9300,
"6228-1","HERO Factory","",2012,"Thornraxx",,44,6.99,8.99,11.99,5702014840171,673419167383,"",1,24.0000,6.5700,
"6229-1","HERO Factory","",2012,"XT4",,39,6.99,8.99,11.99,5702014840881,673419167840,"",1,8.2000,4.4800,
"6230-1","HERO Factory","",2012,"Stormer XL",,89,14.99,24.99,29.99,5702014840041,673419167260,"",1,36.2500,14.0000,
"6231-1","HERO Factory","",2012,"Speeda Demon",,192,24.99,34.99,44.99,,673419167277,"",1,23.5500,18.8000,
"6282-1","HERO Factory","",2012,"Stringer",,42,6.99,8.99,11.99,5702014840928,673419167895,"",1,32.3400,6.4300,
"6283-1","HERO Factory","",2012,"Voltix",,61,9.99,12.99,15.99,5702014840942,673419167918,"",1,17.1500,10.0000,
"6293-1","HERO Factory","",2012,"Furno",,56,9.99,12.99,15.99,5702014840188,673419167796,"",1,41.4400,9.9500,
"6858-1","DC Comics Super Heroes","Batman",2012,"Catwoman Catcycle City Chase",2,89,11.99,12.99,15.99,5702014842298,673419168335,"",1,15.0000,8.9900,
"6862-2","DC Comics Super Heroes","Superman",2012,"Superman vs. Power Armor Lex",3,207,19.99,19.99,24.99,5702014842335,673419168366,"",1,13.5000,9.4700,
"6865-1","Marvel Super Heroes","Avengers",2012,"Captain America's Avenging Cycle",3,72,11.99,12.99,15.99,5702014842397,673419168434,"",1,23.0000,12.0000,
"6866-1","Marvel Super Heroes","Comics",2012,"Wolverine's Chopper Showdown",3,199,19.99,19.99,24.99,5702014842403,673419168441,"",1,115.0000,60.0000,
"6867-1","Marvel Super Heroes","Avengers",2012,"Loki's Cosmic Cube Escape",3,181,19.99,19.99,24.99,,673419168458,"",1,31.0000,18.0000,
"6869-1","Marvel Super Heroes","Avengers",2012,"Quinjet Aerial Battle",5,735,69.99,69.99,89.99,5702014842434,673419168472,"",1,69.9900,55.0000,
"6914-1","Creator","",2012,"Prehistoric Hunters",,191,12.99,17.99,19.99,5702014838406,673419167185,"",1,20.0000,16.0000,
"7147-1","HERO Factory","",2010,"XPlode",,45,9.99,12.99,17.99,,673419130417,"",1,23.7500,3.3600,
